,title,authors,average_rating,title_lower,categories,description,thumbnail,published_year,combined_features
219,Alcoholics Anonymous,Alcoholics Anonymous,4.45,alcoholics anonymous,Self-Help,,http://books.google.com/books/content?id=lHVEwgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1976.0,"alcoholics anonymous,Alcoholics Anonymous,Self-Help"
220,The Natural Way to Draw,Kimon Nicolaides/Mamie Harmon,3.9,the natural way to draw,Art,"Great for the beginner and the expert, this book offers readers exercises to improve their work.",http://books.google.com/books/content?id=tjWRImvzWYgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1941.0,"the natural way to draw,Kimon Nicolaides/Mamie Harmon,Art,Great for the beginner and the expert, this book offers readers exercises to improve their work."
221,The Fixer,Bernard Malamud/Jonathan Safran Foer,3.96,the fixer,Fiction,A Jew in Tsarist Russia is accused of murdering a Catholic boy and suffers from mistreatment in prison.,http://books.google.com/books/content?id=bbmRGBT6XEcC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2004.0,"the fixer,Bernard Malamud/Jonathan Safran Foer,Fiction,A Jew in Tsarist Russia is accused of murdering a Catholic boy and suffers from mistreatment in prison."
222,The Complete Stories,Bernard Malamud/Robert Giroux,4.22,the complete stories,Fiction,"A collection of short stories, most of which appeared in literary magazines during the author's lifetime, along with previously unpublished works, spans the career of one of the century's foremost African-American writers. Reprint.",http://books.google.com/books/content?id=t2NozDINo3UC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1996.0,"the complete stories,Bernard Malamud/Robert Giroux,Fiction,A collection of short stories, most of which appeared in literary magazines during the author's lifetime, along with previously unpublished works, spans the career of one of the century's foremost African-American writers. Reprint."
223,Howards End,E.M. Forster,3.96,howards end,Brothers,"This novel by the author of Maurice and A Passage to India deals with personal relationships and conflicting values and has been filmed, directed by James Ivory and starring Anthony Hopkins, Vanessa Redgrave, Emma Thompson, Prunella Scales, James Wilby, Helena Bonham Carter and Jemma Redgrave.",http://books.google.com/books/content?id=s6chPqFxh60C&printsec=frontcover&img=1&zoom=1&source=gbs_api,2000.0,"howards end,E.M. Forster,Brothers,This novel by the author of Maurice and A Passage to India deals with personal relationships and conflicting values and has been filmed, directed by James Ivory and starring Anthony Hopkins, Vanessa Redgrave, Emma Thompson, Prunella Scales, James Wilby, Helena Bonham Carter and Jemma Redgrave."
224,Maurice,E.M. Forster,4.03,maurice,Fiction,"Set in the elegant Edwardian world of Cambridge undergraduate life, this story by a master novelist introduces us to Maurice Hall when he is fourteen. We follow him through public school and Cambridge, and into his father's firm. In a highly structured society, Maurice is a conventional young man in almost every way--except that his is homosexual.Written during 1913 and 1914, immediately after Howards End, and not published until 1971, Maurice was ahead of its time in its theme and in its affirmation that love between men can be happy. ""Happiness,"" Forster wrote, ""is its keynote.... In Maurice I tried to create a character who was completely unlike myself or what I supposed myself to be: someone handsome, healthy, bodily attractive, mentally torpid, not a bad businessman and rather a snob. Into this mixture I dropped an ingredient that puzzles him, wakes him up, torments him and finally saves him.""",http://books.google.com/books/content?id=ukOKNn64DvkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1993.0,"maurice,E.M. Forster,Fiction,Set in the elegant Edwardian world of Cambridge undergraduate life, this story by a master novelist introduces us to Maurice Hall when he is fourteen. We follow him through public school and Cambridge, and into his father's firm. In a highly structured society, Maurice is a conventional young man in almost every way--except that his is homosexual.Written during 1913 and 1914, immediately after Howards End, and not published until 1971, Maurice was ahead of its time in its theme and in its affirmation that love between men can be happy. ""Happiness,"" Forster wrote, ""is its keynote.... In Maurice I tried to create a character who was completely unlike myself or what I supposed myself to be: someone handsome, healthy, bodily attractive, mentally torpid, not a bad businessman and rather a snob. Into this mixture I dropped an ingredient that puzzles him, wakes him up, torments him and finally saves him."""
225,The Sixteen Pleasures,Robert Hellenga,3.59,the sixteen pleasures,Fiction,"The discovery of an old book of erotica in an Italian convent by a beautiful twenty-nine-year-old book conservator from America becomes her introduction to the sensuous, sometimes dangerous life of Florence. Reprint.",http://books.google.com/books/content?id=dOl-qIXyWK8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,1995.0,"the sixteen pleasures,Robert Hellenga,Fiction,The discovery of an old book of erotica in an Italian convent by a beautiful twenty-nine-year-old book conservator from America becomes her introduction to the sensuous, sometimes dangerous life of Florence. Reprint."
226,Runaway Bride,Deborah  Gordon,4.25,runaway bride,Fiction,"Employing her talents with the martial arts and disguise, Melanie Wyatt smuggles stolen goods to buy freedom for enslaved Chinese children, until Alex McClure, the agent hired to investigate, uncovers her operation and her vulnerable heart. Original.",http://books.google.com/books/content?id=M2JQxGf2Ex8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,1994.0,"runaway bride,Deborah  Gordon,Fiction,Employing her talents with the martial arts and disguise, Melanie Wyatt smuggles stolen goods to buy freedom for enslaved Chinese children, until Alex McClure, the agent hired to investigate, uncovers her operation and her vulnerable heart. Original."
227,Drina Dances in Paris,Jean Estoril,4.16,drina dances in paris,,,http://books.google.com/books/content?id=fAVFHQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1992.0,"drina dances in paris,Jean Estoril"
228,Drina Dances in Italy,Jean Estoril,4.08,drina dances in italy,,,http://books.google.com/books/content?id=ISc8HQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1992.0,"drina dances in italy,Jean Estoril"
229,The Trojan Women,Euripides/Gilbert Murray,3.89,the trojan women,Drama,"As bleak and agonizing a portrait of war as ever to appear on the stage, The Trojan Women is a masterpiece of pathos as well as a timeless and chilling indictment of war's brutality. Plays for Performance Series.",http://books.google.com/books/content?id=9x4jmAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2006.0,"the trojan women,Euripides/Gilbert Murray,Drama,As bleak and agonizing a portrait of war as ever to appear on the stage, The Trojan Women is a masterpiece of pathos as well as a timeless and chilling indictment of war's brutality. Plays for Performance Series."
230,Boogaloo on 2nd Avenue,Mark Kurlansky,3.17,boogaloo on 2nd avenue,Fiction,"Captures the lives of the inhabitants of a tight-knit, ethnically diverse neighborhood on the Lower East Side of New York, including Nathan, a claustrophobic married man falling for Karoline, a German pastry maker.",http://books.google.com/books/content?id=GuO6QgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2005.0,"boogaloo on 2nd avenue,Mark Kurlansky,Fiction,Captures the lives of the inhabitants of a tight-knit, ethnically diverse neighborhood on the Lower East Side of New York, including Nathan, a claustrophobic married man falling for Karoline, a German pastry maker."
231,Girlfriend in a Coma,Douglas Coupland,3.62,girlfriend in a coma,Fiction,"When Karen Ann MacNeil awakens after being in a coma for eighteen years, the world suddenly encounters disturbing, terrifying, and radical changes that alter reality, and Karen and her friends must try to stop the madness and restore order to the world. Reprint. 40,000 first printing.",http://books.google.com/books/content?id=9__w-OOjLuAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1999.0,"girlfriend in a coma,Douglas Coupland,Fiction,When Karen Ann MacNeil awakens after being in a coma for eighteen years, the world suddenly encounters disturbing, terrifying, and radical changes that alter reality, and Karen and her friends must try to stop the madness and restore order to the world. Reprint. 40,000 first printing."
232,Corelli's Mandolin,Louis de Bernières,3.98,corelli's mandolin,Fiction,"The idyllic world of the Greek island of Cephallonia is forever changed by the inexorable changes of World War II, as the inhabitants struggle to cope with the Axis invasion and occupation",http://books.google.com/books/content?id=dsJFZOR11yMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1995.0,"corelli's mandolin,Louis de Bernières,Fiction,The idyllic world of the Greek island of Cephallonia is forever changed by the inexorable changes of World War II, as the inhabitants struggle to cope with the Axis invasion and occupation"
233,Kiffe Kiffe Tomorrow,Faïza Guène/Sarah    Adams,3.4,kiffe kiffe tomorrow,Fiction,"Struggling with an overworked mother, an absent father, and the challenges of life within the infamous Paradise projects of suburban Paris, fifteen-year-old French Muslim Doria endures a parade of social workers, experiences a first kiss, and assumes a philosophical outlook regarding her circumstances. A first novel. Original. 75,000 first printing.",http://books.google.com/books/content?id=fv8tvgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2006.0,"kiffe kiffe tomorrow,Faïza Guène/Sarah    Adams,Fiction,Struggling with an overworked mother, an absent father, and the challenges of life within the infamous Paradise projects of suburban Paris, fifteen-year-old French Muslim Doria endures a parade of social workers, experiences a first kiss, and assumes a philosophical outlook regarding her circumstances. A first novel. Original. 75,000 first printing."
234,Temptations,Otis Williams/Patricia Romanowski,4.19,temptations,Biography & Autobiography,"The Temptations were the most commercially successful and critically lauded male vocal group of the 60s and early 70s. This is the frank, revealing story of the legendary supergroup, told by its founder. 57 photos.",http://books.google.com/books/content?id=KMJo37QXc7gC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,2002.0,"temptations,Otis Williams/Patricia Romanowski,Biography & Autobiography,The Temptations were the most commercially successful and critically lauded male vocal group of the 60s and early 70s. This is the frank, revealing story of the legendary supergroup, told by its founder. 57 photos."
235,The Thorn Birds,Colleen McCullough,4.23,the thorn birds,Fiction,"A saga of three generations of the indomitable Cleary family begins in the early 1900s when Paddy Cleary, a poor New Zealand farm laborer, moves his wife and children to the Australian sheep station owned by his wealthy sister, in a new edition of the classic novel of forbidden love between young Meggie Cleary and Father Ralph de Bricassart. Reprint. 15,000 first printing.",http://books.google.com/books/content?id=mtBZngEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2005.0,"the thorn birds,Colleen McCullough,Fiction,A saga of three generations of the indomitable Cleary family begins in the early 1900s when Paddy Cleary, a poor New Zealand farm laborer, moves his wife and children to the Australian sheep station owned by his wealthy sister, in a new edition of the classic novel of forbidden love between young Meggie Cleary and Father Ralph de Bricassart. Reprint. 15,000 first printing."
236,Morgan's Run,Colleen McCullough,3.95,morgan's run,Fiction,"Colleen McCullough captivated millions with her beloved worldwide bestseller The Thorn Birds. Now she takes readers to the birth of modern Australia with a breath-taking saga brimming with drama, history, and passion. It was one of the greatest human experiments ever undertaken: to populate an unknown continent with the criminals of English society. For Richard Morgan, twelve months as a prisoner on the high seas would be just the beginning in a soul-trying test to survive in a hostile new land where, against all odds, he would find a new love and a new life. From the dank cells of England's prisons to the unforgiving frontier of the eighteenth-century outback, Morgan's Run is the epic tale of one man whose strength and character helped settle a country and define its future.",http://books.google.com/books/content?id=XtgXaI7yBrMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2002.0,"morgan's run,Colleen McCullough,Fiction,Colleen McCullough captivated millions with her beloved worldwide bestseller The Thorn Birds. Now she takes readers to the birth of modern Australia with a breath-taking saga brimming with drama, history, and passion. It was one of the greatest human experiments ever undertaken: to populate an unknown continent with the criminals of English society. For Richard Morgan, twelve months as a prisoner on the high seas would be just the beginning in a soul-trying test to survive in a hostile new land where, against all odds, he would find a new love and a new life. From the dank cells of England's prisons to the unforgiving frontier of the eighteenth-century outback, Morgan's Run is the epic tale of one man whose strength and character helped settle a country and define its future."
237,Tim,Colleen McCullough,3.81,tim,Fiction,"A highly intelligent, lonely, middle-aged spinster finds pure and innocent love in the arms of a simple-minded, young laborer",http://books.google.com/books/content?id=kBFiyP7jOp4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,1990.0,"tim,Colleen McCullough,Fiction,A highly intelligent, lonely, middle-aged spinster finds pure and innocent love in the arms of a simple-minded, young laborer"
238,The Curious Incident of the Dog in the Night-time,Mark Haddon,3.88,the curious incident of the dog in the night-time,Autism,"Despite his overwhelming fear of interacting with people, Christopher, a mathematically-gifted, autistic fifteen-year-old boy, decides to investigate the murder of a neighbor's dog and uncovers secret information about his mother.",,2003.0,"the curious incident of the dog in the night-time,Mark Haddon,Autism,Despite his overwhelming fear of interacting with people, Christopher, a mathematically-gifted, autistic fifteen-year-old boy, decides to investigate the murder of a neighbor's dog and uncovers secret information about his mother."
239,Northern Lights,Tim O'Brien,3.29,northern lights,Arctic regions,"Twelve year-old Lyra Belacqua is drawn into a savage struggle among the armoured bears and witch-clans of the Arctic, where a scientific research station is carrying out experiments too horrible to be spoken about. In order to survive, she must leave her childhood behind and venture beyond the Northern Lights.",http://books.google.com/books/content?id=GFcYAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2001.0,"northern lights,Tim O'Brien,Arctic regions,Twelve year-old Lyra Belacqua is drawn into a savage struggle among the armoured bears and witch-clans of the Arctic, where a scientific research station is carrying out experiments too horrible to be spoken about. In order to survive, she must leave her childhood behind and venture beyond the Northern Lights."
240,In the Lake of the Woods,Tim O'Brien,3.78,in the lake of the woods,Fiction,"Pursued by rumors of the atrocities he committed in Vietnam, a politician and his wife seek refuge in a lakeside cabin in northern Minnesota, where a mystery unfolds when the wife mysterious vanishes into the nearby wilderness. Reprint.",http://books.google.com/books/content?id=sEQmQYilkpEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2006.0,"in the lake of the woods,Tim O'Brien,Fiction,Pursued by rumors of the atrocities he committed in Vietnam, a politician and his wife seek refuge in a lakeside cabin in northern Minnesota, where a mystery unfolds when the wife mysterious vanishes into the nearby wilderness. Reprint."
241,The Nuclear Age,Tim O'Brien,3.45,the nuclear age,Fiction,"From Library Journal : Brilliant nuclear detonations and rising silver Titans have plagued William's dreams since his childhood during the Cuban missile crisis, when he fashioned a fallout shelter from the family ping-pong table. Thirty years later his fear has mushroomed into blinding paranoia, and when his wife announces she is leaving, he laces a hole in the backyard with dynamite, places her in it, and prepares to blow her up.",http://books.google.com/books/content?id=p0EMAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1996.0,"the nuclear age,Tim O'Brien,Fiction,From Library Journal : Brilliant nuclear detonations and rising silver Titans have plagued William's dreams since his childhood during the Cuban missile crisis, when he fashioned a fallout shelter from the family ping-pong table. Thirty years later his fear has mushroomed into blinding paranoia, and when his wife announces she is leaving, he laces a hole in the backyard with dynamite, places her in it, and prepares to blow her up."
242,The Rescue,Nicholas Sparks,4.11,the rescue,Juvenile Fiction,"Soren has been reunited with this sister, Eglantine, but now he must deal with the mysterious disappearance of his mentor, Ezylryb, and in his attempt to save his teacher must fight a formidable foe.",,2004.0,"the rescue,Nicholas Sparks,Juvenile Fiction,Soren has been reunited with this sister, Eglantine, but now he must deal with the mysterious disappearance of his mentor, Ezylryb, and in his attempt to save his teacher must fight a formidable foe."
243,Nights in Rodanthe,Nicholas Sparks,3.84,nights in rodanthe,Divorced people,"After her husband leaves her for a younger woman, forty-five-year-old Adrienne Willis reconsiders her entire life, until a trip to Rodanthe in North Carolina's outer banks leads to an encounter with successful surgeon Paul Flanner.",http://books.google.com/books/content?id=lCmewAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2003.0,"nights in rodanthe,Nicholas Sparks,Divorced people,After her husband leaves her for a younger woman, forty-five-year-old Adrienne Willis reconsiders her entire life, until a trip to Rodanthe in North Carolina's outer banks leads to an encounter with successful surgeon Paul Flanner."
244,Message in a Bottle,Nicholas Sparks,3.96,message in a bottle,Fiction,"In this New York Times bestseller, a single mother sets out to find the North Carolina man who sent a message meant for someone else . . . and the journey may change her life forever. Divorced and disillusioned about relationships, Theresa Osborne is jogging when she finds a bottle on the beach. Inside is a letter of love and longing to ""Catherine,"" signed simply ""Garrett."" Challenged by the mystery and pulled by emotions she doesn't fully understand, Theresa begins a search for this man that will change her life. What happens to her is unexpected, perhaps miraculous-an encounter that embraces all our hopes for finding someone special, for having a love that is timeless and everlasting.... Nicholas Sparks exquisitely chronicles the human heart. In his first bestselling novel, The Notebook, he created a testament to romantic love that touched readers around the world. Now in this New York Times bestseller, he renews our faith in destiny, in the ability of lovers to find each other no matter where, no matter when...",http://books.google.com/books/content?id=0uvZReSiL1gC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1999.0,"message in a bottle,Nicholas Sparks,Fiction,In this New York Times bestseller, a single mother sets out to find the North Carolina man who sent a message meant for someone else . . . and the journey may change her life forever. Divorced and disillusioned about relationships, Theresa Osborne is jogging when she finds a bottle on the beach. Inside is a letter of love and longing to ""Catherine,"" signed simply ""Garrett."" Challenged by the mystery and pulled by emotions she doesn't fully understand, Theresa begins a search for this man that will change her life. What happens to her is unexpected, perhaps miraculous-an encounter that embraces all our hopes for finding someone special, for having a love that is timeless and everlasting.... Nicholas Sparks exquisitely chronicles the human heart. In his first bestselling novel, The Notebook, he created a testament to romantic love that touched readers around the world. Now in this New York Times bestseller, he renews our faith in destiny, in the ability of lovers to find each other no matter where, no matter when..."
245,Icy Sparks,Gwyn Hyman Rubio,3.7,icy sparks,Fiction,"After years of living in a children's asylum for having spontaneous jerks and spasms, Icy returns home and is quickly befriended by Miss Emily, who cares for her and teaches her the ways of life, transforming Icy into a new person and forever changing her view of the world.",http://books.google.com/books/content?id=XG6-eP4-UxsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1998.0,"icy sparks,Gwyn Hyman Rubio,Fiction,After years of living in a children's asylum for having spontaneous jerks and spasms, Icy returns home and is quickly befriended by Miss Emily, who cares for her and teaches her the ways of life, transforming Icy into a new person and forever changing her view of the world."
246,Special Topics in Calamity Physics,Marisha Pessl,3.71,special topics in calamity physics,Fiction,"Having moved from one academic outpost to another throughout her childhood at the side of her aphorism-prone father, Blue van Meer attends the elite St. Gallway School in her senior year, where she falls in with a charismatic group of friends before the deaths of a teacher and student awaken her analytical instincts. A first novel. 50,000 first printing.",http://books.google.com/books/content?id=6wAkEofYH_IC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2006.0,"special topics in calamity physics,Marisha Pessl,Fiction,Having moved from one academic outpost to another throughout her childhood at the side of her aphorism-prone father, Blue van Meer attends the elite St. Gallway School in her senior year, where she falls in with a charismatic group of friends before the deaths of a teacher and student awaken her analytical instincts. A first novel. 50,000 first printing."
247,Sharp Edges,Jayne Ann Krentz,3.86,sharp edges,Fiction,"A museum curator and a rough-hewn private investigator enter the sinister, high-stakes world of priceless art, where they discover that the most valuable commodity is knowing whom to trust",http://books.google.com/books/content?id=qaphBUh4GHYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1998.0,"sharp edges,Jayne Ann Krentz,Fiction,A museum curator and a rough-hewn private investigator enter the sinister, high-stakes world of priceless art, where they discover that the most valuable commodity is knowing whom to trust"
248,The Tutor's First Love,George MacDonald/Michael R. Phillips,4.08,the tutor's first love,Fiction,Another classic love story retold for today's reader. Deep spiritual insights are artfully woven into the intriguing plot.,http://books.google.com/books/content?id=rAq9vJ_UMxIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1984.0,"the tutor's first love,George MacDonald/Michael R. Phillips,Fiction,Another classic love story retold for today's reader. Deep spiritual insights are artfully woven into the intriguing plot."
249,First Love,Ivan Turgenev/Constance Garnett,3.78,first love,Fiction,"A thirteen-year-old girl moves with her mother to her aunt's house, where she becomes involved in an affair with her aloof, twenty-five-year-old cousin, a seminary student, a liaison that leaves her victimized and confused. Reprint.",http://books.google.com/books/content?id=Wp2vIgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1997.0,"first love,Ivan Turgenev/Constance Garnett,Fiction,A thirteen-year-old girl moves with her mother to her aunt's house, where she becomes involved in an affair with her aloof, twenty-five-year-old cousin, a seminary student, a liaison that leaves her victimized and confused. Reprint."
250,Love @ First Site,Jane Moore,3.41,love @ first site,Fiction,"When her girlfriends, who disapprove of her happy single life, secretly place a personal ad on a hot singles Web site on her behalf, thirty-four-year-old Jessica Monroe is thrown headlong into the bizarre world of online dating, embarking on a series of disastrous dating misadventures in search of Mr. Right. By the author of Fourplay. Reprint. 40,000 first printing.",http://books.google.com/books/content?id=WTaxiWXAArgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2006.0,"love @ first site,Jane Moore,Fiction,When her girlfriends, who disapprove of her happy single life, secretly place a personal ad on a hot singles Web site on her behalf, thirty-four-year-old Jessica Monroe is thrown headlong into the bizarre world of online dating, embarking on a series of disastrous dating misadventures in search of Mr. Right. By the author of Fourplay. Reprint. 40,000 first printing."
251,Anne of Avonlea,L.M. Montgomery/Susan O'Malley,4.23,anne of avonlea,Juvenile Fiction,Sixteen-year-old Anne returns to Avonlea to teach in her former school and works to gain the respect of pupils not much younger than she,http://books.google.com/books/content?id=-rIrrEC7euEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1990.0,"anne of avonlea,L.M. Montgomery/Susan O'Malley,Juvenile Fiction,Sixteen-year-old Anne returns to Avonlea to teach in her former school and works to gain the respect of pupils not much younger than she"
252,The Mysteries of Sherlock Holmes,Arthur Conan Doyle/Paul Bachem,4.18,the mysteries of sherlock holmes,Juvenile Fiction,"Amateur detective Sherlock Holmes, the master of deductive reasoning, solves several mysteries with the aid of his friend, Dr. John Watson. @KeepDiggingWatson Why are the lights at 221 Baker Street so damn bright in the morning? Why does Watson talk so loud? Elementary, my dear STFU! From Twitterature: The World's Greatest Books in Twenty Tweets or Less",http://books.google.com/books/content?id=huXrOAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1996.0,"the mysteries of sherlock holmes,Arthur Conan Doyle/Paul Bachem,Juvenile Fiction,Amateur detective Sherlock Holmes, the master of deductive reasoning, solves several mysteries with the aid of his friend, Dr. John Watson. @KeepDiggingWatson Why are the lights at 221 Baker Street so damn bright in the morning? Why does Watson talk so loud? Elementary, my dear STFU! From Twitterature: The World's Greatest Books in Twenty Tweets or Less"
253,The Complete Adventures and Memoirs of Sherlock Holmes,Arthur Conan Doyle,4.33,the complete adventures and memoirs of sherlock holmes,Fiction,"Presents a facsimile of the twenty-four original ""Strand Magazine"" stories about the adventures of the intrepid detective Sherlock Holmes, which first appeared in publication between 1891 and 1893.",http://books.google.com/books/content?id=_Ld2twEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2001.0,"the complete adventures and memoirs of sherlock holmes,Arthur Conan Doyle,Fiction,Presents a facsimile of the twenty-four original ""Strand Magazine"" stories about the adventures of the intrepid detective Sherlock Holmes, which first appeared in publication between 1891 and 1893."
254,Personal Finance For Dummies,Eric Tyson,3.77,personal finance for dummies,Business & Economics,"Too many personal finance consultants offer financial advice that ignores the big picture and instead focuses on investing. You need much more than that to plan your future. You need a broader understanding of personal finance that includes all areas of your financial life in order to become financially sound. Personal Finance for Dummies, 5th Edition is full of detailed, action-oriented financial advice that will show you how to lower expenses and tame debts as well as invest wisely to achieve your financial goals! Now in its 5th edition, this up-to-date guide covers all the latest trends to ensure your financial stability. Just some of the updates and revisions include: Reviews of the new and revised tax laws and how to take advantage of them The latest scoop on Medicare and Social Security and what it means for you Updated investment advice on mutual funds and other managed investments Enhanced smart spending tips Coverage of new bankruptcy laws and how to eliminate consumer debt Smart ways to use credit and improve credit scores Expanded coverage on educational savings options This hands-on, straightforward guide features ways to survive life changes such as starting your first job, getting married, having children, and retiring, as well as helpful tactics for preventing identity theft and fraud. With Personal Finance for Dummies, 5th Edition, you’ll be able to achieve financial strength and start concentrating on the more important things in life!",http://books.google.com/books/content?id=6-gnlAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2006.0,"personal finance for dummies,Eric Tyson,Business & Economics,Too many personal finance consultants offer financial advice that ignores the big picture and instead focuses on investing. You need much more than that to plan your future. You need a broader understanding of personal finance that includes all areas of your financial life in order to become financially sound. Personal Finance for Dummies, 5th Edition is full of detailed, action-oriented financial advice that will show you how to lower expenses and tame debts as well as invest wisely to achieve your financial goals! Now in its 5th edition, this up-to-date guide covers all the latest trends to ensure your financial stability. Just some of the updates and revisions include: Reviews of the new and revised tax laws and how to take advantage of them The latest scoop on Medicare and Social Security and what it means for you Updated investment advice on mutual funds and other managed investments Enhanced smart spending tips Coverage of new bankruptcy laws and how to eliminate consumer debt Smart ways to use credit and improve credit scores Expanded coverage on educational savings options This hands-on, straightforward guide features ways to survive life changes such as starting your first job, getting married, having children, and retiring, as well as helpful tactics for preventing identity theft and fraud. With Personal Finance for Dummies, 5th Edition, you’ll be able to achieve financial strength and start concentrating on the more important things in life!"
255,Catching Alice,Clare Naylor,3.38,catching alice,Fiction,"Discouraged by the simultaneous loss of her job, apartment, and boyfriend, twentysomething Alice Lewis accepts the offer of her American girlfriend, Tash, to move to Los Angeles to take a job in a glamorous PR firm, but she soon discovers that she is being pursued by a mystery man, who has crossed the Atlantic to woo her. Reissue.",http://books.google.com/books/content?id=vDkKAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2000.0,"catching alice,Clare Naylor,Fiction,Discouraged by the simultaneous loss of her job, apartment, and boyfriend, twentysomething Alice Lewis accepts the offer of her American girlfriend, Tash, to move to Los Angeles to take a job in a glamorous PR firm, but she soon discovers that she is being pursued by a mystery man, who has crossed the Atlantic to woo her. Reissue."
256,The Dream Giver,Bruce H. Wilkinson/David Kopp/Heather Harpham Kopp,4.26,the dream giver,Religion,A modern-day parable explains how to achieve one's dreams and overcome the obstacles that stand in the way of leading the life God intended.,http://books.google.com/books/content?id=z1q3wAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2003.0,"the dream giver,Bruce H. Wilkinson/David Kopp/Heather Harpham Kopp,Religion,A modern-day parable explains how to achieve one's dreams and overcome the obstacles that stand in the way of leading the life God intended."
257,The Last Life,Claire Messud,3.56,the last life,Fiction,"In a story set between North Africa, France, and New England, the Algerian LaBasse family's secrets begin to unravel--a trigger-happy grandfather, a mother who pretended to be French, and a bastard child that was abandoned by the family before he was even born. Reprint. 35,000 first printing.",http://books.google.com/books/content?id=NBiLmAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2000.0,"the last life,Claire Messud,Fiction,In a story set between North Africa, France, and New England, the Algerian LaBasse family's secrets begin to unravel--a trigger-happy grandfather, a mother who pretended to be French, and a bastard child that was abandoned by the family before he was even born. Reprint. 35,000 first printing."
258,The Hunters,Claire Messud,3.42,the hunters,American fiction,"Two short novels by the author of The Last Life.'A Simple Tale' tells the story of Maria Poniatowski: her childhood in the Ukraine; her incarceration in a Nazi prison camp in Poland; and her life as an emigrant, working as a domestic in Toronto. Maria is now old, but not yet retired; her sole client is the ancient, demanding Mrs Ellison. Maria reflects on all that has happened, on her relationship with her family, with Mrs Ellison, with the country she left behind and the country in which she lives. 'A Simple Tale' is a moving story of a life and a century.'The Hunters' is the tale of an American academic doing research one summer in London, and the odd and disconcerting relationship she (or he?–the narrator remains a nameless and ungendered voice) develops with her downstairs neighbour, Ridley Wandor. Messud vividly captures the sweltering ugliness of London in the summer, and the sinister aspects of its grimmer quarters. 'The Hunters' is a mysterious story–powerful, haunting and accomplished.",http://books.google.com/books/content?id=ExP1uO0GSDsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2003.0,"the hunters,Claire Messud,American fiction,Two short novels by the author of The Last Life.'A Simple Tale' tells the story of Maria Poniatowski: her childhood in the Ukraine; her incarceration in a Nazi prison camp in Poland; and her life as an emigrant, working as a domestic in Toronto. Maria is now old, but not yet retired; her sole client is the ancient, demanding Mrs Ellison. Maria reflects on all that has happened, on her relationship with her family, with Mrs Ellison, with the country she left behind and the country in which she lives. 'A Simple Tale' is a moving story of a life and a century.'The Hunters' is the tale of an American academic doing research one summer in London, and the odd and disconcerting relationship she (or he?–the narrator remains a nameless and ungendered voice) develops with her downstairs neighbour, Ridley Wandor. Messud vividly captures the sweltering ugliness of London in the summer, and the sinister aspects of its grimmer quarters. 'The Hunters' is a mysterious story–powerful, haunting and accomplished."
259,The Sea,John Banville,3.51,the sea,Fiction,"Following the death of his wife, Max Morden retreats to the seaside town of his childhood summers, where his own life becomes inextricably entwined with the members of the vacationing Grace family.",http://books.google.com/books/content?id=1ohQ3OkWiWMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2006.0,"the sea,John Banville,Fiction,Following the death of his wife, Max Morden retreats to the seaside town of his childhood summers, where his own life becomes inextricably entwined with the members of the vacationing Grace family."
